Annee;Charge_An_Surv;PP;Frequence
2022;2130;46,68;7,1
2021;205;4,46;1,1
2020;75;1,61;0,6
2019;360;7,88;2,11
2018;315;6,87;1,8
2017;135;3,34;1,2
2016;210;5,13;1,7
2015;55;1,4;0,6
2014;455;12,35;4,9
2013;325;8,33;3
2012;110;2,95;1,3
2011;85;2,21;1,1
2010;60;1,79;0,9
2009;140;4,65;1,9
2008;35;0,93;0,4
2007;80;2,44;1
2006;120;2,12;0,9
2005;70;3,12;1,3
2004;60;1,52;0,5
2003;105;1,83;0,9
2002;25;0,63;0,4
2001;45;0,96;0,4
2000;45;1,08;0,6
1999;;0;0
1998;20;0,96;0,7
1997;5;0,28;0,2
1996;5;0,13;0,1
1995;5;0,15;0,1
1994;60;2,15;1
1993;40;1,22;0,6
1992;25;1,16;0,5
1991;5;0,18;0,1
1990;55;1,91;1,4
1989;30;0,86;0,5
1988;10;0,1;0,05
1987;5;0,49;0,4
1986;15;0,5;0,3
1985;20;1,01;0,6
1984;60;2,05;1,3
