Annee;Coef_actu;base_100
2022;1;325
2021;1,05;308
2020;1,13;289
2019;1,11;292
2018;1,12;290
2017;1,13;287
2016;1,18;276
2015;1,15;283
2014;1,19;272
2013;1,2;271
2012;1,25;261
2011;1,24;262
2010;1,32;247
2009;1,36;240
2008;1,36;240
2007;1,45;224
2006;1,49;218
2005;1,58;206
2004;1,58;206
2003;1,71;190
2002;1,69;193
2001;1,88;173
2000;1,88;173
1999;1,99;163
1998;2,11;154
1997;2,11;154
1996;2,11;154
1995;2,11;154
1994;2,2;148
1993;2,24;145
1992;2,32;140
1991;2,11;154
1990;2,49;130
1989;2,64;123
1988;2,64;123
1987;3,16;103
1986;2,81;116
1985;3,16;103
1984;3,25;100
